OBJECTID,LOCNUM,SALESVOL,X,Y
1,666990510,35495,-121.84299999999993,36.62100000000007
2,653371815,35495,-121.81120000000001,36.66760000000007
3,423468472,35495,-121.96509999999991,36.9753000000001
4,511743478,35495,-121.77399999999992,36.91540000000002
5,404459478,52059,-122.03619999999995,37.32310000000005
6,373128867,84715,-121.99069999999993,37.29280000000004
7,402344537,35495,-122.03229999999998,37.37370000000007
8,637354200,35495,-121.86139999999993,37.25050000000003
9,435039879,35495,-121.80389999999996,37.249900000000046
10,230021602,70990,-121.91809999999997,37.26320000000003
11,706082503,35495,-121.96059999999993,37.35230000000006
12,427515311,35495,-121.9045,37.339100000000066
13,653371856,35495,-121.86229999999993,37.30460000000007
14,230020265,59158,-121.81259999999997,37.30770000000016
15,608450706,35495,-121.84059999999995,37.339800000000025
16,224908368,47327,-121.84499999999997,37.374300000000055
17,434053366,35495,-122.62839999999994,38.24430000000015
18,493062277,35495,-122.72029999999997,38.34690000000006
19,963164819,40228,-122.71349999999993,38.41910000000008
20,988513198,118317,-122.41899999999995,37.63690000000009
21,230176208,47327,-122.2177,37.4753000000001
22,974408171,47327,-122.28379999999994,37.56030000000006
23,212308704,106486,-122.46900000000001,37.669200000000075
24,230019408,94654,-122.46469999999998,37.67330000000011
25,715933937,35495,-122.46109999999996,37.725600000000036
26,433910516,35495,-122.44589999999998,37.782300000000106
27,424165589,1893,-122.40399999999993,37.784700000000065
28,707846495,35495,-122.4016,37.790900000000065
29,403717441,35495,-122.30689999999998,37.883600000000065
30,434528941,35495,-122.28149999999995,37.78720000000003
31,404013040,35495,-122.2892,37.828700000000076
32,438731991,35495,-122.26750000000001,37.869700000000094
33,230019705,44250,-122.10659999999993,37.40110000000006
34,221680317,35495,-121.98469999999995,37.5448000000001
35,221680333,35495,-122.06309999999998,37.60770000000006
36,403515173,35495,-121.95589999999999,37.41780000000012
37,404472004,59158,-121.87619999999998,37.414200000000115
38,421072949,35495,-121.96899999999995,37.50070000000003
39,402304010,70990,-122.12039999999993,37.66630000000008
40,402303949,35495,-122.12499999999996,37.70260000000007
41,230025314,82822,-122.06369999999998,37.90490000000004
42,404463502,47327,-121.92909999999995,37.70690000000007
43,898865969,70990,-121.96479999999997,37.76410000000005
44,414417644,35495,-121.85099999999996,37.70660000000008
45,700109414,35495,-122.49199999999993,37.95220000000008
46,455188581,49693,-122.55359999999997,38.09010000000007
47,478069933,47327,-122.32750000000001,37.93210000000006
