OBJECTID,LOCNUM,SALESVOL,SHAPE
1,666990510,35495,"{""y"": 36.62100000000007, ""x"": -121.84299999999993}"
2,653371815,35495,"{""y"": 36.66760000000007, ""x"": -121.81120000000001}"
3,423468472,35495,"{""y"": 36.9753000000001, ""x"": -121.96509999999991}"
4,511743478,35495,"{""y"": 36.91540000000002, ""x"": -121.77399999999992}"
5,404459478,52059,"{""y"": 37.32310000000005, ""x"": -122.03619999999995}"
6,373128867,84715,"{""y"": 37.29280000000004, ""x"": -121.99069999999993}"
7,402344537,35495,"{""y"": 37.37370000000007, ""x"": -122.03229999999998}"
8,637354200,35495,"{""y"": 37.25050000000003, ""x"": -121.86139999999993}"
9,435039879,35495,"{""y"": 37.249900000000046, ""x"": -121.80389999999996}"
10,230021602,70990,"{""y"": 37.26320000000003, ""x"": -121.91809999999997}"
11,706082503,35495,"{""y"": 37.35230000000006, ""x"": -121.96059999999993}"
12,427515311,35495,"{""y"": 37.339100000000066, ""x"": -121.9045}"
13,653371856,35495,"{""y"": 37.30460000000007, ""x"": -121.86229999999993}"
14,230020265,59158,"{""y"": 37.30770000000016, ""x"": -121.81259999999997}"
15,608450706,35495,"{""y"": 37.339800000000025, ""x"": -121.84059999999995}"
16,224908368,47327,"{""y"": 37.374300000000055, ""x"": -121.84499999999997}"
17,434053366,35495,"{""y"": 38.24430000000015, ""x"": -122.62839999999994}"
18,493062277,35495,"{""y"": 38.34690000000006, ""x"": -122.72029999999997}"
19,963164819,40228,"{""y"": 38.41910000000008, ""x"": -122.71349999999993}"
20,988513198,118317,"{""y"": 37.63690000000009, ""x"": -122.41899999999995}"
21,230176208,47327,"{""y"": 37.4753000000001, ""x"": -122.2177}"
22,974408171,47327,"{""y"": 37.56030000000006, ""x"": -122.28379999999994}"
23,212308704,106486,"{""y"": 37.669200000000075, ""x"": -122.46900000000001}"
24,230019408,94654,"{""y"": 37.67330000000011, ""x"": -122.46469999999998}"
25,715933937,35495,"{""y"": 37.725600000000036, ""x"": -122.46109999999996}"
26,433910516,35495,"{""y"": 37.782300000000106, ""x"": -122.44589999999998}"
27,424165589,1893,"{""y"": 37.784700000000065, ""x"": -122.40399999999993}"
28,707846495,35495,"{""y"": 37.790900000000065, ""x"": -122.4016}"
29,403717441,35495,"{""y"": 37.883600000000065, ""x"": -122.30689999999998}"
30,434528941,35495,"{""y"": 37.78720000000003, ""x"": -122.28149999999995}"
31,404013040,35495,"{""y"": 37.828700000000076, ""x"": -122.2892}"
32,438731991,35495,"{""y"": 37.869700000000094, ""x"": -122.26750000000001}"
33,230019705,44250,"{""y"": 37.40110000000006, ""x"": -122.10659999999993}"
34,221680317,35495,"{""y"": 37.5448000000001, ""x"": -121.98469999999995}"
35,221680333,35495,"{""y"": 37.60770000000006, ""x"": -122.06309999999998}"
36,403515173,35495,"{""y"": 37.41780000000012, ""x"": -121.95589999999999}"
37,404472004,59158,"{""y"": 37.414200000000115, ""x"": -121.87619999999998}"
38,421072949,35495,"{""y"": 37.50070000000003, ""x"": -121.96899999999995}"
39,402304010,70990,"{""y"": 37.66630000000008, ""x"": -122.12039999999993}"
40,402303949,35495,"{""y"": 37.70260000000007, ""x"": -122.12499999999996}"
41,230025314,82822,"{""y"": 37.90490000000004, ""x"": -122.06369999999998}"
42,404463502,47327,"{""y"": 37.70690000000007, ""x"": -121.92909999999995}"
43,898865969,70990,"{""y"": 37.76410000000005, ""x"": -121.96479999999997}"
44,414417644,35495,"{""y"": 37.70660000000008, ""x"": -121.85099999999996}"
45,700109414,35495,"{""y"": 37.95220000000008, ""x"": -122.49199999999993}"
46,455188581,49693,"{""y"": 38.09010000000007, ""x"": -122.55359999999997}"
47,478069933,47327,"{""y"": 37.93210000000006, ""x"": -122.32750000000001}"
48,928136134,61525,"{""y"": 37.98790000000002, ""x"": -122.30929999999992}"
49,230020158,23663,"{""y"": 38.13210000000002, ""x"": -122.22269999999992}"
50,717089130,35495,"{""y"": 38.282600000000045, ""x"": -122.27449999999999}"
51,263166704,35495,"{""y"": 38.322600000000136, ""x"": -122.30789999999996}"
52,404462021,59158,"{""y"": 37.97790000000005, ""x"": -122.06599999999995}"
53,422509315,36441,"{""y"": 38.00820000000003, ""x"": -121.84020000000001}"
54,453434045,53716,"{""y"": 38.24640000000009, ""x"": -122.06879999999995}"
55,481876183,42594,"{""y"": 38.361000000000104, ""x"": -121.96169999999998}"
56,438188804,35495,"{""y"": 38.45910000000006, ""x"": -122.73129999999995}"
57,404480171,47327,"{""y"": 40.80560000000001, ""x"": -124.14419999999996}"
58,230021867,28396,"{""y"": 39.72630000000006, ""x"": -121.80309999999992}"
59,881023055,28396,"{""y"": 40.586600000000104, ""x"": -122.34879999999993}"
60,838040616,1506,"{""y"": 42.34750000000006, ""x"": -122.87799999999999}"
61,202994505,32291,"{""y"": 44.04910000000008, ""x"": -123.17089999999996}"
62,651176349,21527,"{""y"": 44.07280000000004, ""x"": -123.04260000000004}"
63,838144814,32291,"{""y"": 44.628700000000045, ""x"": -123.07799999999996}"
64,699454948,32291,"{""y"": 44.939600000000084, ""x"": -122.98629999999999}"
65,837700863,32291,"{""y"": 45.01230000000007, ""x"": -122.99449999999996}"
66,366796134,43054,"{""y"": 45.3651000000001, ""x"": -122.83929999999995}"
67,397170465,32291,"{""y"": 45.33310000000011, ""x"": -122.76709999999996}"
68,503008104,27985,"{""y"": 45.486500000000106, ""x"": -122.78739999999996}"
69,503008286,36596,"{""y"": 45.45400000000007, ""x"": -122.7782}"
70,837934322,1506,"{""y"": 45.50730000000003, ""x"": -122.95719999999996}"
71,418792651,43054,"{""y"": 45.53900000000003, ""x"": -122.86489999999998}"
72,428080087,32291,"{""y"": 45.5202000000001, ""x"": -122.68139999999997}"
73,425508168,32291,"{""y"": 45.61250000000009, ""x"": -122.68359999999996}"
74,263944894,37205,"{""y"": 45.68570000000006, ""x"": -122.66929999999994}"
75,804228567,37205,"{""y"": 46.142800000000136, ""x"": -122.89939999999996}"
76,503008237,36596,"{""y"": 45.43180000000007, ""x"": -122.57059999999996}"
77,637497629,43054,"{""y"": 45.51810000000011, ""x"": -122.56199999999993}"
78,715094876,32291,"{""y"": 45.576600000000084, ""x"": -122.56469999999995}"
79,214403024,12916,"{""y"": 45.53360000000004, ""x"": -122.44359999999995}"
80,803953587,42166,"{""y"": 45.650500000000086, ""x"": -122.59450000000001}"
81,689883569,37205,"{""y"": 45.61670000000007, ""x"": -122.50579999999997}"
82,404070037,37205,"{""y"": 47.047000000000054, ""x"": -122.93789999999993}"
83,805160603,992,"{""y"": 47.041900000000055, ""x"": -122.8337999999999}"
84,713350718,39686,"{""y"": 47.65800000000012, ""x"": -122.69419999999997}"
85,804522274,44647,"{""y"": 47.165100000000066, ""x"": -122.51099999999997}"
86,230024945,48367,"{""y"": 47.23730000000005, ""x"": -122.48029999999993}"
87,682665617,37205,"{""y"": 47.11340000000012, ""x"": -122.29149999999997}"
88,230025140,34725,"{""y"": 47.159600000000054, ""x"": -122.29479999999995}"
89,578134462,744,"{""y"": 47.36040000000004, ""x"": -122.60819999999995}"
90,251528527,64490,"{""y"": 47.31240000000005, ""x"": -122.30849999999997}"
91,257783894,24803,"{""y"": 47.36650000000007, ""x"": -122.20339999999996}"
92,409748795,37205,"{""y"": 47.522000000000034, ""x"": -122.36869999999999}"
93,457712743,34725,"{""y"": 47.45510000000007, ""x"": -122.25829999999998}"
94,653372722,17362,"{""y"": 47.496200000000066, ""x"": -122.19989999999997}"
95,253020507,37205,"{""y"": 47.172100000000086, ""x"": -122.17209999999994}"
96,422149709,37205,"{""y"": 47.60850000000006, ""x"": -122.33859999999999}"
97,571269091,2232,"{""y"": 47.70890000000001, ""x"": -122.3253999999999}"
98,804653699,49607,"{""y"": 47.83250000000001, ""x"": -122.26679999999996}"
99,230022238,37205,"{""y"": 47.910000000000046, ""x"": -122.2268}"
100,804476950,46135,"{""y"": 47.57410000000008, ""x"": -122.17359999999996}"
101,928448687,44647,"{""y"": 47.544300000000106, ""x"": -122.0501}"
102,928448703,49607,"{""y"": 47.67230000000007, ""x"": -122.10349999999993}"
103,434145621,37205,"{""y"": 47.75760000000011, ""x"": -122.15489999999991}"
104,590505178,62009,"{""y"": 47.9984000000001, ""x"": -122.10129999999998}"
105,637353145,37205,"{""y"": 48.149000000000086, ""x"": -122.19179999999994}"
106,464816263,32245,"{""y"": 48.46540000000008, ""x"": -122.33899999999996}"
107,230020273,47127,"{""y"": 48.784200000000055, ""x"": -122.48780000000002}"
108,404477822,59158,"{""y"": 32.604500000000094, ""x"": -117.08049999999996}"
109,404463491,35495,"{""y"": 32.654400000000166, ""x"": -117.06719999999999}"
110,173283458,1183,"{""y"": 32.752200000000144, ""x"": -117.20939999999997}"
111,173305285,35495,"{""y"": 32.82020000000008, ""x"": -117.17929999999997}"
112,717029157,35495,"{""y"": 32.72700000000002, ""x"": -117.12909999999997}"
113,404461999,35495,"{""y"": 32.766800000000025, ""x"": -117.15049999999998}"
114,003607702,35495,"{""y"": 32.81650000000014, ""x"": -117.15109999999996}"
115,502508997,35495,"{""y"": 32.911100000000076, ""x"": -117.14599999999992}"
116,404462002,59158,"{""y"": 33.06530000000005, ""x"": -117.26249999999995}"
117,404469735,47327,"{""y"": 32.980800000000116, ""x"": -117.06219999999999}"
118,425508242,35495,"{""y"": 33.069600000000044, ""x"": -117.06589999999994}"
119,404469755,70990,"{""y"": 32.65040000000005, ""x"": -116.96759999999995}"
120,404471998,47327,"{""y"": 32.74320000000012, ""x"": -117.05209999999992}"
121,712425092,35495,"{""y"": 32.77310000000002, ""x"": -117.03999999999996}"
122,404895914,70990,"{""y"": 32.779700000000076, ""x"": -117.01099999999992}"
123,503107567,47327,"{""y"": 32.80970000000014, ""x"": -116.95939999999995}"
124,404474094,35495,"{""y"": 32.73860000000012, ""x"": -116.93889999999998}"
125,404462014,35495,"{""y"": 32.83880000000006, ""x"": -116.98109999999993}"
126,256082447,54426,"{""y"": 32.81460000000009, ""x"": -115.56980000000001}"
